0.1000	0.4964	6.5738
0.1096	0.4999	6.8208
0.1202	0.5037	7.0770
0.1318	0.5078	7.3429
0.1445	0.5121	7.6187
0.1585	0.5168	7.9781
0.1738	0.5217	8.2779
0.1905	0.5268	8.6684
0.2089	0.5321	9.0773
0.2291	0.5376	9.5936
0.2512	0.5431	10.0462
0.2754	0.5486	10.5202
0.3020	0.5538	11.1185
0.3311	0.5586	11.6430
0.3631	0.5625	12.3052
0.3981	0.5654	12.7675
0.4365	0.5667	13.3698
0.4786	0.5659	13.7448
0.5248	0.5625	14.0006
0.5754	0.5561	14.1303
0.6310	0.5465	14.1303
0.6918	0.5335	14.0006
0.7586	0.5175	13.6187
0.8318	0.4988	13.2471
0.9120	0.4782	12.7675
